train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,time/time_elapsed,train/std,rollout/ep_len_mean,train/value_loss,time/fps,time/total_timesteps,train/clip_range,train/learning_rate,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,train/n_updates,time/iterations
-0.05603826748993015,0.021208208,0.046370841562747955,0.25530552864074707,33,0.13423185050487518,1000.0,0.24107960048131644,620,20480,0.2,2e-05,3.5345906846225263,0.24091796875,-15.476166699999998,180,10
-0.0607355718369945,0.029677046,3.1875388622283936,0.7554816007614136,54,0.13361264765262604,1000.0,8.016687593236565,748,40960,0.2,2e-05,3.561785827949643,0.2831787109375,101.830875675,380,20
-0.0584139764563588,0.030189564,10.068299293518066,0.9142207503318787,78,0.1329258531332016,1000.0,16.234043919295072,787,61440,0.2,2e-05,3.589767860621214,0.3107421875,169.8242904590164,580,30
-0.06445936672680545,0.03873552,5.864094257354736,0.9465125203132629,98,0.13145871460437775,1000.0,13.30304216593504,828,81920,0.2,2e-05,3.65636465549469,0.3723876953125,205.0537742962963,780,40
-0.06125133093664772,0.04158219,6.898070812225342,0.933643639087677,121,0.13001225888729095,1000.0,23.185371024906637,842,102400,0.2,2e-05,3.7235787726938723,0.37822265625,288.66939099999996,980,50
-0.06180034161079675,0.051453535,11.107779502868652,0.944198489189148,151,0.1284356266260147,1000.0,21.3457879409194,809,122880,0.2,2e-05,3.7959253881126642,0.4264404296875,450.2841271099999,1180,60
-0.05718639871047344,0.049673237,18.19499969482422,0.8677375912666321,200,0.12695394456386566,1000.0,34.08565071225166,714,143360,0.2,2e-05,3.8688263837248087,0.41474609375,628.70990489,1380,70
-0.05839022621221375,0.04597766,24.944856643676758,0.8670361638069153,234,0.12522153556346893,1000.0,41.794060996174814,699,163840,0.2,2e-05,3.949496868252754,0.4149658203125,815.31909573,1580,80
-0.05504975038129487,0.05079517,32.02965545654297,0.8553452491760254,265,0.12366831302642822,1000.0,51.64848826527596,695,184320,0.2,2e-05,4.027798592299223,0.4151611328125,1012.1902934600001,1780,90
-0.05688192802044796,0.046527795,19.201831817626953,0.7474099397659302,290,0.12235953658819199,1000.0,40.14125570654869,703,204800,0.2,2e-05,4.088447169214487,0.4373779296875,1181.9669001700001,1980,100
