train/clip_range,time/time_elapsed,time/total_timesteps,train/value_loss,time/iterations,time/fps,train/clip_fraction,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/std,train/explained_variance,rollout/ep_rew_mean
0.2,19,10240,0.27655828376300634,10,513,0.234619140625,180,1000.0,2e-05,-0.06477918438904454,0.020523924,3.5409737907350065,0.027225859463214874,0.1340734213590622,0.06713461875915527,-23.224057
0.2,36,20480,12.55193995833397,20,557,0.2796875,380,1000.0,2e-05,-0.06933883113524644,0.026043486,3.548850122094154,7.401398658752441,0.13383926451206207,0.399827241897583,54.6221395
0.2,53,30720,3.0601674631237983,30,571,0.315576171875,580,1000.0,2e-05,-0.07211036051594419,0.032530922,3.5672929912805555,1.45976984500885,0.1334901601076126,0.7725039124488831,67.76395123333333
0.2,71,40960,4.3810782983899115,40,576,0.333837890625,780,1000.0,2e-05,-0.06814870621965383,0.035236243,3.594659449905157,1.0907506942749023,0.1328773945569992,0.2894665598869324,88.11610900000001
0.2,85,51200,11.850834061205386,50,596,0.41435546875,980,1000.0,2e-05,-0.08015562083746772,0.042554818,3.6374086253345013,3.400851011276245,0.13194873929023743,0.414484441280365,115.86845549019607
0.2,95,61440,17.671170222759248,60,640,0.41357421875,1180,1000.0,2e-05,-0.08254897388687824,0.044025544,3.6634950771927834,6.515803813934326,0.13139653205871582,0.4483548402786255,132.01750631147542
0.2,106,71680,47.75490412712097,70,674,0.391943359375,1380,1000.0,2e-05,-0.06958272363408469,0.042164687,3.6959395982325076,16.52564811706543,0.13066983222961426,0.5535943508148193,164.75512653521128
0.2,116,81920,34.27746012210846,80,705,0.448876953125,1580,1000.0,2e-05,-0.08154099083767505,0.053397607,3.7238183937966824,17.897106170654297,0.13004109263420105,0.5970892906188965,191.7494040740741
0.2,126,92160,25.487944251298906,90,730,0.4583984375,1780,1000.0,2e-05,-0.07080472976376768,0.053073548,3.761862713843584,13.979665756225586,0.12912926077842712,0.5099966526031494,222.24026735869566
0.2,136,102400,59.30105764269829,100,749,0.40361328125,1980,1000.0,2e-05,-0.07559766056656372,0.048612386,3.8061584189534186,24.385385513305664,0.12827961146831512,0.5379155278205872,258.92643206
0.2,146,112640,46.958281606435776,110,767,0.455712890625,2180,1000.0,2e-05,-0.07634893794602249,0.059884723,3.849284214526415,22.580453872680664,0.1273430436849594,0.5534527897834778,314.90993183
0.2,156,122880,50.27821332216263,120,783,0.47080078125,2380,1000.0,2e-05,-0.07841036694590002,0.060104135,3.878796061873436,15.63033390045166,0.12678687274456024,0.6036322116851807,340.94568863000006
0.2,172,133120,38.06083065867424,130,772,0.452978515625,2580,1000.0,2e-05,-0.07538615056837443,0.05937337,3.9313652463257314,19.58309555053711,0.12558211386203766,0.71857750415802,410.54576198999996
0.2,182,143360,32.82085527181626,140,783,0.507958984375,2780,1000.0,2e-05,-0.07647281951067271,0.06414567,3.968122398108244,16.569656372070312,0.12481357902288437,0.6157622337341309,466.95174546000004
0.2,192,153600,44.08282822370529,150,796,0.481494140625,2980,1000.0,2e-05,-0.07866601374698803,0.057894647,4.000847212970257,15.656108856201172,0.12420883029699326,0.6742156744003296,516.6541051500001
0.2,202,163840,40.34044064879417,160,807,0.51220703125,3180,1000.0,2e-05,-0.0794333671219647,0.07828221,4.026971164345741,18.236467361450195,0.12363184243440628,0.5758146047592163,573.2795515599998
0.2,212,174080,29.557795494794846,170,817,0.5279296875,3380,1000.0,2e-05,-0.07517491191101726,0.080992624,4.054243086278438,11.858922958374023,0.12306930869817734,0.5198640823364258,624.98123703
0.2,222,184320,34.26153981089592,180,827,0.520556640625,3580,1000.0,2e-05,-0.07291498668928398,0.071927786,4.082840588688851,19.708335876464844,0.12249163538217545,0.48661041259765625,670.50884244
0.2,232,194560,50.604851281642915,190,835,0.50751953125,3780,1000.0,2e-05,-0.08187279573612613,0.06896865,4.108913649618626,21.125728607177734,0.12198257446289062,0.5586353540420532,702.74163342
0.2,243,204800,80.02335336208344,200,842,0.4994140625,3980,1000.0,2e-05,-0.0813171921094181,0.070666716,4.140442039072513,26.245771408081055,0.12132811546325684,0.9195001721382141,712.9370969500001
0.2,253,215040,48.47205395102501,210,849,0.526708984375,4180,1000.0,2e-05,-0.07414600160263944,0.07083595,4.17373765707016,18.840110778808594,0.12067615985870361,0.6651397943496704,738.9494699200001
0.2,263,225280,47.52846919298172,220,855,0.510888671875,4380,1000.0,2e-05,-0.06977041847712825,0.06399694,4.205056409537792,33.10646438598633,0.12006472796201706,0.531043291091919,762.4667273100001
0.2,273,235520,36.63318740725517,230,860,0.55830078125,4580,1000.0,2e-05,-0.07074035690457095,0.09182971,4.2376823499798775,17.292837142944336,0.11942750215530396,0.401080846786499,777.06898362
